,Unnamed: 0,gameID,tc,timeclass,w_accuracy,b_accuracy,w_rating,b_rating,w_result,b_result,w_user,b_user,w_rapid_wins,w_rapid_losses,w_rapid_draws,w_blitz_rating,w_blitz_wins,w_blitz_losses,w_blitz_draws,w_bullet_rating,w_bullet_wins,w_bullet_losses,w_bullet_draws,w_tactics_rating,w_rush_rating,b_rapid_rating,b_rapid_wins,b_rapid_losses,b_rapid_draws,b_blitz_rating,b_blitz_wins,b_blitz_losses,b_blitz_draws,b_bullet_rating,b_bullet_wins,b_bullet_losses,b_bullet_draws,b_tactics_rating,b_rush_rating,w_rapid_rating,moves,opening
0,0,56889059865,600,rapid,NULL,NULL,636,634,win,abandoned,Maheshbadiyal7,0000COVID0000,39.0,41.0,1.0,394.0,0.0,0.0,1.0,197.0,5.0,11.0,0.0,625.0,4.0,634.0,51.0,75.0,5.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,423.0,NULL,626.0,1. e4  1... e5  2. Nf3  2... Nf6  3. d3  3... Nc6  4. Bg5  4... h6  5. Bxf6  5... Qxf6  6. Nc3  6... g5  7. Nd5  7... Qd6  8. Nc3  8... g4  9. Nd2  9... Rg8  10. Nc4  10... Qd4  11. Qe2  11... g3  12. fxg3  12... Rxg3  13. O-O-O  13... Nb4  14. hxg3  1-0,Petrovs-Defense
1,1,56929861875,600,rapid,NULL,NULL,1818,1850,timeout,win,007good2019,chessmaniackiller07,5229.0,5160.0,473.0,1653.0,3952.0,3812.0,279.0,NULL,NULL,NULL,NULL,469.0,12.0,1840.0,520.0,464.0,78.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1818.0,1. g4  1... d5  2. Bg2  2... e5  3. c4  3... d4  4. Qb3  4... c6  5. h3  5... Nf6  6. Nf3  6... Bd6  7. a3  7... O-O  8. Qc2  8... Re8  9. d3  9... Nbd7  10. Bg5  10... Qc7  11. Bh4  11... h6  12. b4  12... c5  13. bxc5  13... Qxc5  14. Bg3  14... e4  15. Nfd2  15... Bxg3  16. fxg3  16... exd3  17. Qxd3  17... Ne5  18. Qb3  18... d3  19. Nc3  19... dxe2  20. Nxe2  20... Nc6  21. Bf3  21... Nd4  22. Qd3  22... Nxf3+  23. Nxf3  23... Re3  24. Qd8+  24... Kh7  25. Qd4  25... Qe7  26. Qd2  26... Qe4  27. Ng1  27... Be6  28. Kd1  28... Bxc4  29. Rh2  29... Re8  30. Qd4  30... Bb3+  31. Ke1  31... Qc2  32. Qd2  32... Qc5  33. Qd4  33... Qb5  34. Kd2  34... Qa5+  35. Qb4  35... Ne4+  0-1,Grob-Opening-Grob-Gambit-with-2-Bg2...d5
2,2,56906388615,600,rapid,NULL,NULL,910,891,win,checkmated,hosseinFaraji1984,01LZ10,50.0,64.0,7.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1138.0,17.0,891.0,330.0,307.0,31.0,1052.0,3.0,6.0,0.0,NULL,NULL,NULL,NULL,604.0,NULL,910.0,1. e4  1... Nc6  2. d4  2... e6  3. d5  3... exd5  4. exd5  4... Nb4  5. Nc3  5... c6  6. Bc4  6... Nf6  7. dxc6  7... bxc6  8. Bg5  8... Be7  9. Bxf6  9... Bxf6  10. Nf3  10... O-O  11. O-O  11... d5  12. Be2  12... Bf5  13. Nd4  13... c5  14. Nxf5  14... g6  15. Nh6+  15... Kg7  16. Ng4  16... d4  17. Nb5  17... h5  18. Nxf6  18... Qxf6  19. c3  19... Rad8  20. cxd4  20... cxd4  21. a3  21... Nc6  22. Qd3  22... Ne5  23. Qb3  23... d3  24. Bf3  24... d2  25. Rad1  25... Qg5  26. Bd5  26... Rxd5  27. Qxd5  27... f6  28. f4  28... Qg4  29. fxe5  29... fxe5  30. Qxe5+  30... Kh6  31. Qe3+  31... g5  32. Qe6+  32... Kh7  33. Rf7+  33... Rxf7  34. Qxf7+  34... Kh6  35. Rxd2  35... h4  36. Rd6+  36... Qe6  37. Rxe6#  1-0,Nimzowitsch-Defense-2.d4-e6
3,3,56281444317,600,rapid,NULL,NULL,1069,962,win,checkmated,030920d,CAROLYNEPENICHE,26.0,9.0,3.0,553.0,12.0,21.0,2.0,487.0,22.0,24.0,1.0,2042.0,43.0,981.0,552.0,531.0,44.0,942.0,1.0,0.0,2.0,NULL,NULL,NULL,NULL,475.0,NULL,1069.0,1. d4  1... d5  2. Nf3  2... Nf6  3. Bf4  3... Nc6  4. Nc3  4... Bf5  5. Nb5  5... e5  6. dxe5  6... Nxe5  7. Bxe5  7... Bd6  8. Nxd6+  8... cxd6  9. Bxf6  9... Qxf6  10. c3  10... O-O  11. Qb3  11... Be4  12. O-O-O  12... Bxf3  13. exf3  13... b6  14. Qxd5  14... a5  15. Qxd6  15... Qf5  16. Qxb6  16... a4  17. a3  17... Rfb8  18. Qd4  18... Qg5+  19. f4  19... Qf5  20. Bd3  20... Qg4  21. Be4  21... Rd8  22. Qxd8+  22... Rxd8  23. Rxd8#  1-0,London-System
4,4,55912437939,900+10,rapid,80.77,78.5,1794,1801,agreed,agreed,0318ethan,piezasactivas,32.0,16.0,6.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2780.0,31.0,1686.0,1405.0,1292.0,171.0,1402.0,267.0,249.0,18.0,NULL,NULL,NULL,NULL,514.0,NULL,1794.0,1. d4  1... e5  2. dxe5  2... f6  3. exf6  3... Nxf6  4. Nf3  4... Bc5  5. Bg5  5... Bxf2+  6. Kxf2  6... Ne4+  7. Ke1  7... Nxg5  8. Nc3  8... O-O  9. Nxg5  9... Qxg5  10. Qd5+  10... Qxd5  11. Nxd5  11... Na6  12. e3  12... c6  13. Ne7+  13... Kh8  14. Bxa6  14... bxa6  15. Nxc8  15... Raxc8  16. Rd1  16... d5  17. Ke2  17... Rb8  18. Rhf1  18... Kg8  19. b3  19... Rfe8  20. Rf4  20... Rbd8  21. Rdd4  21... c5  22. Rd3  22... Rd6  23. Kd1  23... g6  1/2-1/2,Englund-Gambit-Soller-Gambit
5,5,56898083561,120+1,bullet,NULL,NULL,1507,1447,win,timeout,0726Koreyoshi,nandarrr,28.0,8.0,2.0,1873.0,315.0,178.0,11.0,1507.0,2366.0,2147.0,103.0,2781.0,37.0,1575.0,36.0,22.0,3.0,1708.0,344.0,313.0,39.0,1455.0,1875.0,2226.0,128.0,435.0,NULL,1863.0,1. Nf3  1... d6  2. d4  2... e6  3. e4  3... g6  4. Bd3  4... Bg7  5. O-O  5... b6  6. Bg5  6... Ne7  7. Nbd2  7... O-O  8. c3  8... Nd7  9. Re1  9... Bb7  10. a4  10... c5  11. Rc1  11... f6  12. Bh4  12... Rc8  13. Qb3  13... d5  14. exd5  14... exd5  15. Qa3  15... c4  16. Bxc4  16... dxc4  17. Rxe7  17... Rf7  18. Rxf7  18... Kxf7  19. Re1  19... Bf8  20. b4  20... Bd6  21. Qc1  21... Qc7  22. Ne4  22... Bxe4  23. Rxe4  23... Kg7  24. Qe1  24... Nf8  25. Bg3  25... Kg8  26. Nd2  26... Bxg3  27. hxg3  27... Kf7  28. Qe2  28... Qd7  29. Nxc4  1-0,Queens-Pawn-Opening-Tartakower-Variation
6,6,53694541559,1500,rapid,74.77,72.08,1337,633,agreed,agreed,0iiiiiiii0,NazarHaidai,14.0,2.0,3.0,939.0,1.0,0.0,0.0,NULL,NULL,NULL,NULL,2649.0,30.0,663.0,643.0,875.0,167.0,884.0,75.0,113.0,14.0,538.0,0.0,6.0,0.0,956.0,13.0,1337.0,1. d4  1... g6  2. c4  2... Bg7  3. Nc3  3... c5  4. e3  4... cxd4  5. exd4  5... Nc6  6. Nge2  6... a6  7. d5  7... Na7  8. Be3  8... d6  9. Bd4  9... Nf6  10. Ne4  10... Nh5  11. Bxg7  11... Nxg7  12. N2c3  12... Qc7  13. Be2  13... f5  14. Ng3  14... O-O  15. h4  15... e5  16. dxe6  16... Nxe6  17. Bd3  17... Nd4  18. Be4  18... Re8  19. Qxd4  19... Qc6  20. Kf1  20... fxe4  21. Ngxe4  21... Bf5  22. Nf6+  22... Kf7  23. Nxe8  23... Rxe8  24. Nd5  24... Re5  25. Qxa7  25... Qxc4+  26. Kg1  26... Qxd5  27. h5  27... g5  28. Rc1  28... Re7  29. Qb6  29... Qd2  30. Qb3+  30... Be6  31. Qf3+  31... Ke8  32. Qe3  32... Qxb2  33. Re1  33... Qf6  1/2-1/2,Modern-Defense-Pterodactyl-Quiet-Line
7,7,56925010929,600,rapid,NULL,NULL,1007,1010,checkmated,win,alxgb,0mnivorous,806.0,830.0,99.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1310.0,25.0,1010.0,78.0,91.0,10.0,464.0,1523.0,1639.0,75.0,789.0,1.0,2.0,0.0,514.0,NULL,1022.0,1. e4  1... d6  2. f4  2... e5  3. Nf3  3... exf4  4. d4  4... Bd7  5. Bxf4  5... c5  6. a3  6... f5  7. e5  7... dxe5  8. Bxe5  8... cxd4  9. Qxd4  9... Nf6  10. Bd3  10... Nc6  11. Qc3  11... a6  12. O-O  12... Be7  13. Ng5  13... O-O  14. Bxf5  14... Bxf5  15. Rxf5  15... Nd5  16. Rxf8+  16... Qxf8  17. Ne6  17... Qf7  18. Qg3  18... Bf6  19. Bxf6  19... Qxf6  20. Ng5  20... Nd4  21. Ne4  21... Qf5  22. Nbc3  22... Nxc3  23. Qxc3  23... Ne2+  24. Kh1  24... Nxc3  25. bxc3  25... Qxe4  26. h3  26... Qxc2  27. Re1  27... Qxc3  28. Re7  28... Qc1+  29. Kh2  29... Qf4+  30. g3  30... Qd2+  31. Kg1  31... Rc8  32. Rxb7  32... Rc1#  0-1,Pirc-Defense-Harmonist-Variation
8,8,56739676507,600,rapid,NULL,NULL,892,919,abandoned,win,0ypher,Eumarschner,76.0,58.0,9.0,472.0,0.0,1.0,0.0,702.0,1.0,4.0,2.0,430.0,NULL,959.0,729.0,667.0,90.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,892.0,1. d4  1... d5  2. c4  2... Na6  3. cxd5  3... Bf5  4. Nf3  4... Nb4  5. Qa4+  5... c6  6. Qxb4  6... e5  7. Qxb7  7... e4  8. Qxc6+  8... Bd7  9. Qc4  9... exf3  10. exf3  10... Rc8  11. Qe2+  11... Be7  12. Nd2  12... Nf6  13. d6  13... Bb5  14. Qe5  14... Qxd6  15. Qxb5+  15... Nd7  16. Ne4  16... Qe6  17. Bc4  17... Qxc4  18. Qb4  18... Bxb4+  0-1,Queens-Gambit
9,9,56890269299,600,rapid,NULL,NULL,766,704,win,checkmated,114514mayixuejie,AnnaKunovskaia,56.0,61.0,8.0,NULL,NULL,NULL,NULL,358.0,7.0,13.0,1.0,400.0,6.0,705.0,471.0,460.0,105.0,529.0,1.0,1.0,0.0,NULL,NULL,NULL,NULL,411.0,10.0,766.0,1. e4  1... e5  2. Nf3  2... f6  3. Nc3  3... Bb4  4. a3  4... Bxc3  5. dxc3  5... d6  6. Bc4  6... Bg4  7. h3  7... Bxf3  8. Qxf3  8... Ne7  9. Qh5+  9... g6  10. Qh6  10... Ng8  11. Qg7  11... Qe7  12. Qxh8  12... Nc6  13. Qxg8+  13... Qf8  14. Qxh7  14... a5  15. Bf7+  15... Ke7  16. Bxg6+  16... Ke6  17. Bf5#  1-0,Kings-Pawn-Opening-Kings-Knight-Damiano-Defense
